LINCS_ID	CL_Name	Cell_Category	Center	Assay	Organ	Disease	StudyArea
LCL-1542	SiHa	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	cervix	cervical squamous cell carcinoma	Imaging
LCL-1366	AM-38	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	brain	glioblastoma	Imaging
LCL-1495	EN	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	uterus	endometrial carcinoma	Imaging
LCL-1131	Farage	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lymphatic system	B-cell lymphocytic neoplasm	Imaging
LCL-1708	647V	Cell Line	CMT_MGH;HMS_LINCS	Fluorescence imaging cell growth inhibition assay;Fluorescence imaging apoptosis assay;Fluorescence imaging cell cycle state assay	urinary bladder	bladder transitional cell carcinoma	Imaging
LCL-2074	HCC2185	Cell Line	HMS_LINCS	Fluorescence imaging cell count assay	breast	ductal carcinoma	Imaging
LCL-1043	ALL-PO	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	blood	acute lymphocytic leukemia	Imaging
LCL-1390	SF539	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	brain	glioblastoma	Imaging
LCL-1614	NCI-H1944	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	adenocarcinoma	Imaging
LCL-1867	COLO 668	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung small cell carcinoma	Imaging
LCL-1135	SU-DHL-16	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lymphatic system	non-Hodgkin lymphoma	Imaging
LCL-1990	SJNB-12	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	nervous system	neuroblastoma	Imaging
LCL-1836	NCI-H1092	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung small cell carcinoma	Imaging
LCL-1604	HCC15	Cell Line	CMT_MGH;BroadT_LINCS	Fluorescence imaging cell growth inhibition assay;L1000 mRNA profiling assay	lung	non-small cell lung carcinoma	Imaging;Transcriptomics
LCL-1258	VMRC-MELG	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	skin	melanoma	Imaging
LCL-1615	NCI-H2085	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	adenocarcinoma	Imaging
LCL-1833	HCC33	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung small cell carcinoma	Imaging
LCL-1168	RKO	Cell Line	BroadT_LINCS;CMT_MGH	L1000 mRNA profiling assay;Fluorescence imaging cell growth inhibition assay	intestine	colorectal carcinoma;colon carcinoma	Transcriptomics;Imaging
LCL-1713	HT-1197	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	urinary bladder	bladder transitional cell carcinoma;bladder carcinoma	Imaging
LCL-2107	JURKAT;Jurkat	Cell Line	BroadT_LINCS	L1000 mRNA profiling assay			Transcriptomics
LCL-2025	Raji	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lymphatic system	Burkitts lymphoma	Imaging
LCL-2015	2B8	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lymphatic system	Burkitts lymphoma	Imaging
LCL-1829	CPC-N	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung small cell carcinoma	Imaging
LCL-1281	SK-MEL-24	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	skin	melanoma	Imaging
LCL-1636	DV-90;DV90	Cell Line	CMT_MGH;BroadT_LINCS	Fluorescence imaging cell growth inhibition assay;L1000 mRNA profiling assay	lung	lung adenocarcinoma;non small cell lung cancer| adenocarcinoma	Imaging;Transcriptomics
LCL-1789	ETK-1	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	biliary tract	bile duct carcinoma	Imaging
LCL-1477	COLO 824	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	breast	breast carcinoma	Imaging
LCL-1983	GI-ME-N	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	nervous system	neuroblastoma	Imaging
LCL-2123	MCF 10A F3aN400T32A/S253A/S315A-Venus-P2A-NLS-mCherry	Cell Line	HMS_LINCS	Fluorescence imaging protein state assay	breast		Imaging
LCL-1245	COLO 849	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	skin	melanoma	Imaging
LCL-1783	NCI-H1581	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung large cell carcinoma	Imaging
LCL-1885	MKN7	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	stomach	stomach carcinoma	Imaging
LCL-1971	SK-N-SH	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	nervous system	neuroblastoma	Imaging
LCL-2022	Namalwa	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lymphatic system	Burkitts lymphoma	Imaging
LCL-1190	CW-2	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	intestine	colon adenocarcinoma	Imaging
LCL-1223	SCC-25	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	head and neck	squamous cell carcinoma	Imaging
LCL-1845	NCI-H1963	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung small cell carcinoma	Imaging
LCL-1945	VA-ES-BJ;WSUDLCL2	Cell Line	CMT_MGH;BroadT_LINCS	Fluorescence imaging cell growth inhibition assay;L1000 mRNA profiling assay	miscellaneous	peripheral epithelioid sarcoma	Imaging;Transcriptomics
LCL-1364	U-87MG ATCC	Cell Line	CMT_MGH;Yale_LINCS	Fluorescence imaging cell growth inhibition assay;ELISA protein secretion profiling assay	brain	glioblastoma	Binding;Imaging
LCL-1083	HL-60/MX2	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	blood		Imaging
LCL-1628	NCI-H1155	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	non-small cell lung carcinoma	Imaging
LCL-1250	IPC-298	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	skin	melanoma	Imaging
LCL-1849	NCI-H211	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung small cell carcinoma	Imaging
LCL-1293	BeWo	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	miscellaneous	placental choriocarcinoma	Imaging
LCL-1905	Lu-65A	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung giant cell carcinoma	Imaging
LCL-1611	NCI-H1568	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung adenocarcinoma;non-small cell lung carcinoma	Imaging
LCL-1483	KPL-1	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	breast	breast carcinoma	Imaging
LCL-1254	RPMI-7951	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	skin	melanoma	Imaging
LCL-1967	SK-N-MC-IXC	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	nervous system	neuroblastoma	Imaging
LCL-1022	RPMI-8402	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	blood	acute T cell leukemia	Imaging
LCL-1825	COR-L279	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung small cell carcinoma	Imaging
LCL-1687	B-CPAP	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	thyroid	thyroid carcinoma	Imaging
LCL-1011	C8166	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	blood	acute T cell leukemia	Imaging
LCL-1523	OV-90	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	ovary	ovary adenocarcinoma	Imaging
LCL-1318	MFM-223	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	breast	carcinoma	Imaging
LCL-1300	C-33 A	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	cervix	cervix carcinoma	Imaging
LCL-1429	NY	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	bone	osteosarcoma	Imaging
LCL-1637	NCI-H1437	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung adenocarcinoma	Imaging
LCL-1039	Reh	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	blood	acute lymphocytic leukemia	Imaging
LCL-1172	COLO 201	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	intestine	colon carcinoma	Imaging
LCL-2142	HA1E.101	Cell Line	BroadT_LINCS	L1000 mRNA profiling assay	kidney		Transcriptomics
LCL-1350	DK-MG	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	brain	glioblastoma	Imaging
LCL-1376	D-542MG	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	brain	glioblastoma	Imaging
LCL-1820	RERF-LC-MA	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung small cell carcinoma	Imaging
LCL-1704	Ej138	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	urinary bladder	bladder carcinoma	Imaging
LCL-2137	MCF7.101	Cell Line	BroadT_LINCS	L1000 mRNA profiling assay	breast		Transcriptomics
LCL-1382	KNS-42	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	brain	glioblastoma	Imaging
LCL-1601	A-549	Cell Line	BroadT_LINCS;PCCSE;CMT_MGH;Yale_LINCS	L1000 mRNA profiling assay;Global chromatin epigenetic profiling assay;P100 phosphoprotein quantification assay;Fluorescence imaging cell growth inhibition assay;ELISA protein secretion profiling assay	lung	non-small cell lung carcinoma	Transcriptomics;Proteomics;Epigenomics;Binding;Imaging
LCL-1889	SNU-16	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	stomach	stomach carcinoma	Imaging
LCL-1667	LC-2/ad	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung adenocarcinoma	Imaging
LCL-1019	MOLT-4	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	blood	acute T cell leukemia	Imaging
LCL-1738	MIA PaCa-2	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	pancreas	pancreas adenocarcinoma	Imaging
LCL-1878	STC 1	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung small cell carcinoma	Imaging
LCL-1029	J45.01	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	blood	acute T cell leukemia	Imaging
LCL-1050	CESS	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	blood	acute myeloid leukemia	Imaging
LCL-1148	SCH	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	stomach	stomach cancer	Imaging
LCL-1175	DLD-1	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	intestine	colon adenocarcinoma	Imaging
LCL-1496	HEC-1	Cell Line	CMT_MGH;HMS_LINCS	Fluorescence imaging cell growth inhibition assay;Fluorescence imaging apoptosis assay;Fluorescence imaging cell cycle state assay	uterus	endometrial adenocarcinoma;endometrial cancer;uterine cancer	Imaging
LCL-1394	CCF-STTG1	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	brain	astrocytoma	Imaging
LCL-2047	MOLP-8	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	blood	myeloma	Imaging
LCL-1380	KALS-1	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	brain	glioblastoma	Imaging
LCL-1737	Hs 766T	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	pancreas	pancreas adenocarcinoma	Imaging
LCL-1948	BC-3	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lymphatic system	B-cell lymphocytic neoplasm	Imaging
LCL-1170	Caco-2	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	intestine	colon adenocarcinoma	Imaging
LCL-1322	ZR-75-30	Cell Line	CMT_MGH;HMS_LINCS	Fluorescence imaging cell growth inhibition assay;Fluorescence imaging protein state assay;ELISA protein state assay	breast	invasive ductal carcinoma	Binding;Imaging
LCL-1072	THP-1;THP1	Cell Line	CMT_MGH;HMS_LINCS;BroadT_LINCS	Fluorescence imaging cell growth inhibition assay;KiNativ kinase-small molecule binding assay;L1000 mRNA profiling assay	blood		Binding;Imaging;Transcriptomics
LCL-1567	TE-12	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	esophagus	esophagus squamous cell carcinoma	Imaging
LCL-1251	Mel Ho	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	skin	melanoma	Imaging
LCL-2083	HME1;hTERT-HME1	Cell Line	BroadT_LINCS;HMS_LINCS	L1000 mRNA profiling assay;Fluorescence imaging cell count assay	breast		Transcriptomics;Imaging
LCL-1294	CAL-39	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	vulva	vulva squamous cell carcinoma	Imaging
LCL-2032	EB3 [Human Burkitt lymphoma]	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lymphatic system	Burkitts lymphoma	Imaging
LCL-1984	IMR-5	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	nervous system	neuroblastoma	Imaging
LCL-1562	T.Tn	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	esophagus	esophagus squamous cell carcinoma	Imaging
LCL-1744	PaTu 8902	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	pancreas	pancreas adenocarcinoma	Imaging
LCL-1016	KE-37	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	blood	acute T cell leukemia	Imaging
LCL-1138	SU-DHL-6	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lymphatic system	non-Hodgkin lymphoma	Imaging
LCL-1128	SCC-3	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lymphatic system	non-Hodgkin lymphoma	Imaging
LCL-1381	KINGS-1	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	brain	glioblastoma	Imaging
LCL-1541	Ca Ski	Cell Line	CMT_MGH;HMS_LINCS	Fluorescence imaging cell growth inhibition assay;Fluorescence imaging apoptosis assay;Fluorescence imaging cell cycle state assay	cervix	cervical squamous cell carcinoma	Imaging
LCL-1866	SBC-2	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung small cell carcinoma	Imaging
LCL-1499	AN3-CA	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	uterus	endometrial cancer	Imaging
LCL-1856	NCI-H510A	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung small cell carcinoma	Imaging
LCL-2152	HEK293T	Cell Line	BroadT_LINCS	L1000 mRNA profiling assay	kidney		Transcriptomics
LCL-1271	CP66-MEL	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	skin	melanoma	Imaging
LCL-2143	HELA.311	Cell Line	BroadT_LINCS	L1000 mRNA profiling assay	large intestine		Transcriptomics
LCL-1208	BHY	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	head and neck	oral cavity cancer	Imaging
LCL-1023	SUP-T1	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	blood	acute T cell leukemia	Imaging
LCL-2007	HDLM-2	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lymphatic system		Imaging
LCL-1319	UACC-812	Cell Line	CMT_MGH;HMS_LINCS;HMS_LINCS	Fluorescence imaging cell growth inhibition assay;Fluorescence imaging cell count assay;Fluorescence imaging protein state assay;ELISA protein state assay	breast	invasive ductal carcinoma	Imaging;Binding
LCL-1073	NKM-1	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	blood	acute myeloid leukemia	Imaging
LCL-1537	RERF-GC-1B	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	stomach	gastric adenocarcinoma	Imaging
LCL-1457	CAL-78	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	bone	chondrosarcoma	Imaging
LCL-1699	OAW42	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	ovary	ovarian carcinoma	Imaging
LCL-1662	NCI-H1838	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung adenocarcinoma	Imaging
LCL-1658	RERF-LC-KJ	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung adenocarcinoma	Imaging
LCL-1497	Ishikawa	Cell Line	CMT_MGH;HMS_LINCS	Fluorescence imaging cell growth inhibition assay;Fluorescence imaging apoptosis assay;Fluorescence imaging cell cycle state assay	uterus	endometrial adenocarcinoma	Imaging
LCL-1284	A373-C6	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	skin	melanoma	Imaging
LCL-1501	MFE-296	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	uterus	endometrial carcinoma	Imaging
LCL-1503	SNGM;SNG-M	Cell Line	BroadT_LINCS;CMT_MGH	L1000 mRNA profiling assay;Fluorescence imaging cell growth inhibition assay	uterus	endometrial adenocarcinoma;endometrial carcinoma	Transcriptomics;Imaging
LCL-1362	M059K	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	brain	glioblastoma	Imaging
LCL-2038	J.gamma1	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	blood	leukemia	Imaging
LCL-1940	HuH-1	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	liver	hepatocellular carcinoma	Imaging
LCL-2060	JKT-beta-del	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	blood		Imaging
LCL-1314	HCC1419	Cell Line	CMT_MGH;HMS_LINCS;HMS_LINCS	Fluorescence imaging cell growth inhibition assay;Fluorescence imaging protein state assay;ELISA protein state assay;Fluorescence imaging cell count assay	breast	invasive ductal carcinoma	Binding;Imaging
LCL-1365	8-MG-BA	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	brain	glioblastoma	Imaging
LCL-1374	D-423MG	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	brain	glioblastoma	Imaging
LCL-1813	NCI-H196	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung small cell carcinoma	Imaging
LCL-1951	Sci-1	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lymphatic system	B-cell lymphocytic neoplasm	Imaging
LCL-1702	5637	Cell Line	CMT_MGH;HMS_LINCS;HMS_LINCS	Fluorescence imaging cell growth inhibition assay;Fluorescence imaging apoptosis assay;Fluorescence imaging cell cycle state assay	urinary bladder	bladder carcinoma	Imaging
LCL-1340	NCI-H747	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	intestine	cecum adenocarcinoma	Imaging
LCL-1841	NCIH1694;NCI-H1694	Cell Line	BroadT_LINCS;CMT_MGH	L1000 mRNA profiling assay;Fluorescence imaging cell growth inhibition assay	lung	lung small cell carcinoma	Transcriptomics;Imaging
LCL-2162	SNUC4	Cell Line	BroadT_LINCS	L1000 mRNA profiling assay			Transcriptomics
LCL-1575	LB771-HNC	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	head and neck	esophagus squamous cell carcinoma	Imaging
LCL-1735	HPAC	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	pancreas	pancreas adenocarcinoma	Imaging
LCL-1673	NCI-H1666	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	adenocarcinoma	Imaging
LCL-1927	Hep-G2/C3A	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	liver	hepatocellular carcinoma	Imaging
LCL-1844	NCI-H1882	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung small cell carcinoma	Imaging
LCL-1787	EGI-1	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	biliary tract	bile duct carcinoma	Imaging
LCL-1668	LXF 289	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung adenocarcinoma	Imaging
LCL-1802	SK-NEP-1	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	kidney	renal Wilms tumor	Imaging
LCL-1799	SW1573	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	bronchiolo-alveolar adenocarcinoma	Imaging
LCL-2146	NKDBA	Cell Line	BroadT_LINCS	L1000 mRNA profiling assay	kidney		Transcriptomics
LCL-1840	NCI-H1618	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung small cell carcinoma	Imaging
LCL-1888	SNU-1	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	stomach	stomach carcinoma	Imaging
LCL-1740	Panc 03.27	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	pancreas	pancreas adenocarcinoma	Imaging
LCL-1239	COLO 792	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	skin	melanoma	Imaging
LCL-1657	RERF-LC-Ad1	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung adenocarcinoma	Imaging
LCL-1847	NCI-H209	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung small cell carcinoma	Imaging
LCL-1597	NCI-H226	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung squamous cell carcinoma	Imaging
LCL-1800	OCUG-1	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	gall bladder	gallbladder carcinoma	Imaging
LCL-1671	NCI-H358	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung adenocarcinoma	Imaging
LCL-2056	HL60RG	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	blood		Imaging
LCL-1963	SK-N-BE(2)-C	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	nervous system	neuroblastoma	Imaging
LCL-2147	OV7	Cell Line	BroadT_LINCS	L1000 mRNA profiling assay	ovary		Transcriptomics
LCL-1854	NCI-H345	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung small cell carcinoma	Imaging
LCL-1435	HT-1080	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	miscellaneous	fibrosarcoma	Imaging
LCL-2019	DG-75	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lymphatic system	Burkitts lymphoma	Imaging
LCL-1034	CEM/C1	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	blood	acute lymphocytic leukemia	Imaging
LCL-2103	NGP	Cell Line	HMS_LINCS	KiNativ kinase-small molecule binding assay	nervous system	neuroblastoma	Binding
LCL-1246	G-361	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	skin	melanoma	Imaging
LCL-1060	ML-2	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	blood	acute myeloid leukemia	Imaging
LCL-2023	P32/ISH	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lymphatic system	Burkitts lymphoma	Imaging
LCL-1416	PA-1	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	ovary	teratocarcinoma	Imaging
LCL-1934	SNU-398	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	liver	hepatocellular carcinoma	Imaging
LCL-1303	DoTc2 4510	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	cervix	cervix carcinoma	Imaging
LCL-1061	MOLM-13	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	blood	acute myeloid leukemia	Imaging
LCL-1599	NCI-H2023	Cell Line	CMT_MGH;HMS_LINCS	Fluorescence imaging cell growth inhibition assay;Fluorescence imaging apoptosis assay;Fluorescence imaging cell cycle state assay	lung	non-small cell lung carcinoma	Imaging
LCL-1220	OSC-20	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	head and neck	tongue cancer	Imaging
LCL-1145	22Rv1	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	prostate	prostate carcinoma	Imaging
LCL-1839	NCI-H1522	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	lung	lung small cell carcinoma	Imaging
LCL-1689	HTC-C3	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	thyroid	thyroid carcinoma	Imaging
LCL-1753	MFH-ino	Cell Line	CMT_MGH	Fluorescence imaging cell growth inhibition assay	miscellaneous	fibrous histiocytoma	Imaging
